section	statistic	value
summary	numTrees	2027025
summary	numEdges	127702575
summary	meanDegree	126.0000000000
local	numLocalPeaks	1
local	posteriorMassOfLocalPeaks	0.3787422951
local	meanUphillFraction	0.4995925800
local	posteriorWeightedMeanUphillFraction	0.0151187697
local	meanBestNeighborLnLDifference	24.2689714992
local	posteriorWeightedMeanBestNeighborLnLDifference	0.7667269340
local	meanNeighborAbsLnLDifference	6.6619182766
local	posteriorWeightedMeanNeighborAbsLnLDifference	12.3638600693
basin	numPeaks	1
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	2027025
basin	largestBasinMass	1.0000000000
basin	basinMassEntropy	0.0000000000
basin	effectiveNumBasins	1.0000000000
basin	mapTreeHash	13517268504271296713
basin	mapPeakHash	13517268504271296713
basin	mapPeakId	0
basin	mapBasinMass	1.0000000000
basin	posteriorMassOutsideMapBasin	0.0000000000
ascent	meanAscentLength	6.3601460268
ascent	posteriorWeightedMeanAscentLength	0.7270788730
ascent	meanAscentLengthCredible95	1.2666666667
ascent	posteriorWeightedMeanAscentLengthCredible95	0.6705072806
ascent	maxAscentLength	11
credible95	credible95NumTrees	15
credible95	credible95Mass	0.9502286116
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	15
credible95	credible95LargestComponentMass	0.9502286116
credible95	credible95MapComponentSize	15
credible95	credible95MapComponentMass	0.9502286116
barrier	basinGraphEdges	0
barrier	meanBasinGraphDegree	0.0000000000
barrier	mapBasinGraphDegree	0
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	0.0000000000
barrier	meanBarrier	0.0000000000
barrier	posteriorWeightedMeanBarrier	0.0000000000
barrier	maxBarrier	0.0000000000

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	13517268504271296713	0.3787422951	2027025	1.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
